1,2,3,4,9,U1
05:51:00,05:42:00,05:54:00,05:35:00,07:41:00,07:56:00
06:21:00,06:12:00,06:14:00,06:05:00,08:16:00,08:11:00
06:48:00,06:42:00,06:34:00,06:25:00,08:51:00,08:17:00
07:05:00,06:56:00,06:46:00,06:40:00,09:26:00,08:23:00
07:21:00,07:14:00,07:01:00,06:55:00,10:01:00,08:29:00
07:35:00,07:31:00,07:26:00,07:11:00,10:29:00,08:35:00
07:50:00,07:44:00,07:45:00,07:33:00,10:59:00,08:41:00
08:04:00,08:00:00,08:11:00,07:57:00,11:29:00,08:47:00
08:16:00,08:17:00,08:38:00,08:21:00,11:59:00,08:53:00
08:30:00,08:29:00,09:06:00,08:49:00,12:29:00,08:59:00
08:42:00,08:43:00,09:25:00,09:12:00,12:59:00,09:05:00
08:52:00,08:54:00,09:46:00,09:32:00,13:29:00,09:11:00
09:03:00,09:06:00,10:01:00,09:46:00,13:59:00,09:17:00
09:14:00,09:18:00,10:21:00,10:05:00,14:29:00,09:23:00
09:22:00,09:23:00,10:41:00,10:30:00,14:59:00,09:29:00
09:30:00,09:32:00,10:58:00,10:50:00,15:29:00,09:35:00
09:41:00,09:43:00,11:28:00,11:15:00,16:05:00,09:41:00
09:56:00,09:55:00,11:58:00,11:45:00,16:43:00,09:47:00
10:04:00,10:07:00,12:28:00,12:15:00,17:13:00,09:53:00
10:19:00,10:18:00,12:58:00,12:45:00,17:58:00,09:59:00
10:34:00,10:33:00,13:28:00,13:15:00,18:28:00,10:05:00
10:49:00,10:48:00,13:58:00,13:45:00,19:00:00,10:11:00
11:04:00,11:03:00,14:28:00,14:15:00,,10:17:00
11:19:00,11:18:00,14:53:00,14:45:00,,10:23:00
11:34:00,11:33:00,15:17:00,15:06:00,,10:35:00
11:49:00,11:48:00,15:45:00,15:31:00,,10:47:00
12:04:00,12:03:00,16:10:00,15:54:00,,10:59:00
12:19:00,12:18:00,16:25:00,16:19:00,,11:11:00
12:34:00,12:33:00,16:55:00,16:39:00,,11:23:00
12:49:00,12:48:00,17:15:00,17:04:00,,11:35:00
13:04:00,13:03:00,17:35:00,17:24:00,,11:47:00
13:19:00,13:18:00,17:55:00,17:44:00,,11:59:00
13:34:00,13:33:00,18:14:00,18:03:00,,12:11:00
13:49:00,13:48:00,18:35:00,18:27:00,,12:23:00
14:04:00,14:03:00,18:56:00,18:45:00,,12:35:00
14:19:00,14:18:00,19:26:00,19:05:00,,12:47:00
14:34:00,14:33:00,20:01:00,19:40:00,,12:59:00
14:49:00,14:48:00,20:23:00,20:09:00,,13:11:00
15:05:00,15:03:00,20:51:00,20:37:00,,13:23:00
15:21:00,15:20:00,21:45:00,21:10:00,,13:35:00
15:40:00,15:38:00,22:45:00,22:10:00,,13:47:00
15:52:00,15:51:00,23:45:00,23:10:00,,13:59:00
16:04:00,16:03:00,,00:39:00,,14:11:00
16:16:00,16:15:00,,01:39:00,,14:23:00
16:28:00,16:27:00,,,,14:35:00
16:40:00,16:39:00,,,,14:47:00
16:52:00,16:52:00,,,,14:55:00
17:04:00,17:04:00,,,,15:02:00
17:16:00,17:18:00,,,,15:19:00
17:28:00,17:30:00,,,,15:27:00
17:40:00,17:43:00,,,,15:34:00
17:52:00,17:55:00,,,,15:42:00
18:04:00,18:07:00,,,,15:49:00
18:15:00,18:17:00,,,,15:57:00
18:25:00,18:28:00,,,,16:04:00
18:35:00,18:38:00,,,,16:13:00
18:47:00,18:48:00,,,,16:20:00
19:00:00,19:00:00,,,,16:28:00
19:19:00,19:14:00,,,,16:35:00
19:29:00,19:28:00,,,,16:43:00
19:42:00,19:43:00,,,,16:50:00
19:56:00,19:55:00,,,,16:58:00
20:10:00,20:08:00,,,,17:05:00
20:25:00,20:23:00,,,,17:13:00
20:39:00,20:37:00,,,,17:20:00
20:52:00,20:50:00,,,,17:28:00
21:06:00,21:03:00,,,,17:35:00
21:26:00,21:18:00,,,,17:42:00
21:49:00,21:39:00,,,,17:49:00
22:19:00,22:09:00,,,,17:57:00
22:49:00,22:39:00,,,,18:04:00
23:19:00,23:09:00,,,,18:09:00
23:49:00,23:39:00,,,,18:16:00
,,,,,18:24:00
,,,,,18:34:00
,,,,,18:44:00
,,,,,18:54:00
,,,,,19:04:00
,,,,,19:14:00
,,,,,19:24:00
,,,,,19:37:00
,,,,,20:07:00
,,,,,20:37:00
,,,,,21:07:00
,,,,,21:37:00
,,,,,22:07:00
,,,,,22:37:00
,,,,,23:07:00
,,,,,23:37:00
,,,,,00:07:00
,,,,,00:37:00
,,,,,01:07:00
,,,,,01:37:00
,,,,,02:07:00
,,,,,02:37:00
,,,,,03:07:00
,,,,,03:37:00
,,,,,04:07:00
